Assembled 15600 bytes
Loaded 346 bytes from 'demos/d32_literals_and_data.bin' at 0x080000
Running (speed: max IPS, time limit: 10s)...

[UART TX @ 40000] ';'  (0x3B)
[UART TX @ 40000] ' '  (0x20)
[UART TX @ 40000] 'D'  (0x44)
[UART TX @ 40000] 'e'  (0x65)
[UART TX @ 40000] 'm'  (0x6D)
[UART TX @ 40000] 'o'  (0x6F)
[UART TX @ 40000] ' '  (0x20)
[UART TX @ 40000] '3'  (0x33)
[UART TX @ 40000] '2'  (0x32)
[UART TX @ 40000] ':'  (0x3A)
[UART TX @ 40000] ' '  (0x20)
[UART TX @ 40000] 'r'  (0x72)
[UART TX @ 40000] 'i'  (0x69)
[UART TX @ 40000] 'c'  (0x63)
[UART TX @ 40000] 'h'  (0x68)
[UART TX @ 40000] 'e'  (0x65)
[UART TX @ 40000] 'r'  (0x72)
[UART TX @ 40000] ' '  (0x20)
[UART TX @ 40000] 'l'  (0x6C)
[UART TX @ 40000] 'i'  (0x69)
[UART TX @ 40000] 't'  (0x74)
[UART TX @ 40000] 'e'  (0x65)
[UART TX @ 40000] 'r'  (0x72)
[UART TX @ 40000] 'a'  (0x61)
[UART TX @ 40000] 'l'  (0x6C)
[UART TX @ 40000] 's'  (0x73)
[UART TX @ 40000] ' '  (0x20)
[UART TX @ 40000] 'a'  (0x61)
[UART TX @ 40000] 'n'  (0x6E)
[UART TX @ 40000] 'd'  (0x64)
[UART TX @ 40000] ' '  (0x20)
[UART TX @ 40000] 'l'  (0x6C)
[UART TX @ 40000] 'o'  (0x6F)
[UART TX @ 40000] 'w'  (0x77)
[UART TX @ 40000] 'e'  (0x65)
[UART TX @ 40000] 'r'  (0x72)
[UART TX @ 40000] 'e'  (0x65)
[UART TX @ 40000] 'd'  (0x64)
[UART TX @ 40000] ' '  (0x20)
[UART TX @ 40000] 'd'  (0x64)
[UART TX @ 40000] 'a'  (0x61)
[UART TX @ 40000] 't'  (0x74)
[UART TX @ 40000] 'a'  (0x61)
[UART TX @ 40000] ' '  (0x20)
[UART TX @ 40000] 'd'  (0x64)
[UART TX @ 40000] 'i'  (0x69)
[UART TX @ 40000] 'r'  (0x72)
[UART TX @ 40000] 'e'  (0x65)
[UART TX @ 40000] 'c'  (0x63)
[UART TX @ 40000] 't'  (0x74)
[UART TX @ 40000] 'i'  (0x69)
[UART TX @ 40000] 'v'  (0x76)
[UART TX @ 40000] 'e'  (0x65)
[UART TX @ 40000] 's'  (0x73)
[UART TX @ 40000] ''  (0x0D)
[UART TX @ 40000] '\n'
[UART TX @ 50000] ''  (0x0D)
[UART TX @ 50000] '\n'
[UART TX @ 60000] ''  (0x0D)
[UART TX @ 60000] '\n'
[UART TX @ 70000] ''  (0x0D)
[UART TX @ 70000] '\n'
[UART TX @ 70000] ''  (0x0D)
[UART TX @ 70000] '\n'
[UART TX @ 70000] ' '  (0x20)
[UART TX @ 70000] 'p'  (0x70)
[UART TX @ 70000] 'u'  (0x75)
[UART TX @ 70000] 's'  (0x73)
[UART TX @ 70000] 'h'  (0x68)
[UART TX @ 70000] ' '  (0x20)
[UART TX @ 70000] 'r'  (0x72)
[UART TX @ 70000] '2'  (0x32)
[UART TX @ 70000] ''  (0x0D)
[UART TX @ 70000] '\n'
[UART TX @ 70000] ' '  (0x20)
[UART TX @ 70000] 'l'  (0x6C)
[UART TX @ 70000] 'c'  (0x63)
[UART TX @ 70000] ' '  (0x20)
[UART TX @ 70000] 'r'  (0x72)
[UART TX @ 70000] '2'  (0x32)
[UART TX @ 70000] ','  (0x2C)
[UART TX @ 70000] '0'  (0x30)
[UART TX @ 70000] 'x'  (0x78)
[UART TX @ 70000] '2'  (0x32)
[UART TX @ 70000] 'A'  (0x41)
[UART TX @ 70000] ''  (0x0D)
[UART TX @ 70000] '\n'
[UART TX @ 80000] ' '  (0x20)
[UART TX @ 80000] 'c'  (0x63)
[UART TX @ 80000] 'e'  (0x65)
[UART TX @ 80000] 'q'  (0x71)
[UART TX @ 80000] ' '  (0x20)
[UART TX @ 80000] 'r'  (0x72)
[UART TX @ 80000] '0'  (0x30)
[UART TX @ 80000] ','  (0x2C)
[UART TX @ 80000] 'r'  (0x72)
[UART TX @ 80000] '2'  (0x32)
[UART TX @ 80000] ''  (0x0D)
[UART TX @ 80000] '\n'
[UART TX @ 80000] ' '  (0x20)
[UART TX @ 80000] 'p'  (0x70)
[UART TX @ 80000] 'o'  (0x6F)
[UART TX @ 80000] 'p'  (0x70)
[UART TX @ 80000] ' '  (0x20)
[UART TX @ 80000] 'r'  (0x72)
[UART TX @ 80000] '2'  (0x32)
[UART TX @ 80000] ''  (0x0D)
[UART TX @ 80000] '\n'
[UART TX @ 80000] ' '  (0x20)
[UART TX @ 80000] 'b'  (0x62)
[UART TX @ 80000] 'r'  (0x72)
[UART TX @ 80000] 't'  (0x74)
[UART TX @ 80000] ' '  (0x20)
[UART TX @ 80000] '_'  (0x5F)
[UART TX @ 80000] 'h'  (0x68)
[UART TX @ 80000] 'l'  (0x6C)
[UART TX @ 80000] 'i'  (0x69)
[UART TX @ 80000] 'f'  (0x66)
[UART TX @ 80000] '_'  (0x5F)
[UART TX @ 80000] '3'  (0x33)
[UART TX @ 80000] '_'  (0x5F)
[UART TX @ 80000] 's'  (0x73)
[UART TX @ 80000] 'k'  (0x6B)
[UART TX @ 80000] 'i'  (0x69)
[UART TX @ 80000] 'p'  (0x70)
[UART TX @ 80000] ''  (0x0D)
[UART TX @ 80000] '\n'
[UART TX @ 80000] ' '  (0x20)
[UART TX @ 80000] 'j'  (0x6A)
[UART TX @ 80000] 'm'  (0x6D)
[UART TX @ 80000] 'p'  (0x70)
[UART TX @ 80000] ' '  (0x20)
[UART TX @ 80000] '_'  (0x5F)
[UART TX @ 80000] 'h'  (0x68)
[UART TX @ 80000] 'l'  (0x6C)
[UART TX @ 80000] 'i'  (0x69)
[UART TX @ 80000] 'f'  (0x66)
[UART TX @ 80000] '_'  (0x5F)
[UART TX @ 80000] '1'  (0x31)
[UART TX @ 80000] '_'  (0x5F)
[UART TX @ 80000] 'f'  (0x66)
[UART TX @ 80000] 'a'  (0x61)
[UART TX @ 80000] 'l'  (0x6C)
[UART TX @ 80000] 's'  (0x73)
[UART TX @ 80000] 'e'  (0x65)
[UART TX @ 80000] ''  (0x0D)
[UART TX @ 80000] '\n'
[UART TX @ 80000] '_'  (0x5F)
[UART TX @ 80000] 'h'  (0x68)
[UART TX @ 80000] 'l'  (0x6C)
[UART TX @ 80000] 'i'  (0x69)
[UART TX @ 80000] 'f'  (0x66)
[UART TX @ 80000] '_'  (0x5F)
[UART TX @ 80000] '3'  (0x33)
[UART TX @ 80000] '_'  (0x5F)
[UART TX @ 80000] 's'  (0x73)
[UART TX @ 80000] 'k'  (0x6B)
[UART TX @ 80000] 'i'  (0x69)
[UART TX @ 80000] 'p'  (0x70)
[UART TX @ 80000] ':'  (0x3A)
[UART TX @ 80000] ''  (0x0D)
[UART TX @ 80000] '\n'
[UART TX @ 80000] ' '  (0x20)
[UART TX @ 80000] 'x'  (0x78)
[UART TX @ 80000] 'o'  (0x6F)
[UART TX @ 80000] 'r'  (0x72)
[UART TX @ 80000] ' '  (0x20)
[UART TX @ 80000] 'r'  (0x72)
[UART TX @ 80000] '0'  (0x30)
[UART TX @ 80000] ','  (0x2C)
[UART TX @ 80000] 'r'  (0x72)
[UART TX @ 80000] '0'  (0x30)
[UART TX @ 80000] ''  (0x0D)
[UART TX @ 80000] '\n'
[UART TX @ 80000] '_'  (0x5F)
[UART TX @ 80000] 'h'  (0x68)
[UART TX @ 80000] 'l'  (0x6C)
